               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.028184,            0.014617,                   0,             0.83603,             0.90463,             0.92836,              0.5869,            0.013637,           0.0062442,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.029365,            0.015197,                   0,              0.9138,              0.8871,             0.94548,             0.55236,            0.014653,           0.0061553,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.029584,            0.014355,                   0,             0.94768,             0.87656,             0.96977,             0.55562,             0.01357,           0.0062273,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02794,            0.013673,                   0,             0.96546,             0.90162,             0.97369,             0.56717,             0.01298,           0.0059851,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026582,            0.014077,                   0,             0.91242,             0.95161,             0.97606,             0.56889,            0.012637,           0.0060492,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.027817,            0.014339,                   0,              0.9164,             0.91935,              0.9728,             0.53799,            0.014216,           0.0060629,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.027011,            0.013292,                   0,             0.91346,             0.90323,             0.96373,             0.55117,            0.013481,           0.0057841,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026211,            0.013616,                   0,              0.9178,             0.90049,             0.96206,             0.58229,            0.012758,           0.0058292,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.025703,              0.0138,                   0,             0.95731,             0.93548,              0.9776,              0.5968,            0.012432,           0.0056411,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.026365,            0.013552,                   0,             0.93231,             0.88858,             0.96462,             0.57624,              0.0135,            0.005893,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026915,            0.013574,                   0,             0.95134,             0.94612,             0.96866,             0.57327,            0.013362,           0.0059038,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.029545,             0.01441,                   0,             0.93694,             0.95856,             0.97976,             0.56166,            0.013832,           0.0057844,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026417,            0.013427,                   0,             0.95112,             0.94163,             0.97772,             0.59773,            0.012398,           0.0057637,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.024869,            0.012946,                   0,             0.93743,             0.96659,             0.98223,             0.58676,            0.012515,           0.0059219,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.025069,            0.012323,                   0,              0.9661,             0.91932,             0.98122,             0.56383,             0.01335,           0.0060022,                   0,            0.004951,            0.004951,            0.004951
                  53,              0.0258,            0.012824,                   0,              0.9578,             0.91935,             0.97841,             0.59427,            0.012347,           0.0060487,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023831,            0.012633,                   0,             0.94864,             0.91935,             0.97283,             0.58538,            0.012636,            0.006052,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.024064,             0.01275,                   0,             0.93342,             0.95161,             0.98297,             0.56999,            0.012646,           0.0059171,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.025554,             0.01219,                   0,              0.9684,             0.93548,              0.9872,             0.56591,            0.012949,            0.005764,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.024254,            0.012972,                   0,             0.96639,             0.95161,              0.9859,             0.58635,            0.012751,           0.0058524,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.022807,             0.01282,                   0,             0.96643,             0.92859,              0.9853,             0.61373,            0.011744,           0.0056451,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.023087,            0.012821,                   0,             0.93244,             0.96774,             0.98256,             0.61748,            0.011661,           0.0057011,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.024973,            0.013211,                   0,             0.90783,              0.9532,             0.98162,             0.61025,            0.011751,           0.0057485,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.02255,            0.011915,                   0,             0.90489,             0.96774,             0.97849,             0.62265,            0.011841,           0.0060142,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022757,            0.012264,                   0,              0.9658,             0.91112,             0.98078,              0.6059,            0.011893,           0.0060865,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.023117,            0.011829,                   0,             0.96607,              0.9186,             0.98056,             0.59775,            0.012491,           0.0060888,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.021863,            0.011917,                   0,             0.94654,             0.95161,             0.98157,             0.59876,             0.01208,           0.0059421,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021436,            0.012408,                   0,             0.96182,             0.93548,             0.97897,             0.60236,            0.012445,           0.0059993,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.022797,            0.011999,                   0,             0.96609,             0.93548,              0.9821,             0.61757,             0.01203,           0.0059874,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023148,             0.01277,                   0,             0.96609,             0.91906,             0.97877,              0.5969,            0.012651,           0.0060163,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.022097,            0.011943,                   0,             0.96761,             0.93548,             0.98148,             0.60481,            0.012006,           0.0059357,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.021212,            0.011565,                   0,             0.96014,             0.95161,              0.9881,              0.5996,            0.012127,           0.0059803,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.022968,            0.012313,                   0,             0.96759,             0.96774,             0.98969,             0.60439,            0.011464,           0.0058646,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023089,            0.013015,                   0,             0.96686,             0.98387,             0.98849,             0.59416,            0.011784,           0.0058949,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021373,            0.011425,                   0,             0.93976,             0.96774,             0.99042,             0.61632,            0.011337,           0.0056915,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.022521,            0.011964,                   0,             0.93776,             0.95161,             0.98871,             0.61171,            0.011737,           0.0058551,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020107,            0.010833,                   0,             0.95485,             0.96774,             0.99147,             0.60237,            0.011806,           0.0059071,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.021532,            0.011744,                   0,             0.95253,             0.97089,             0.99167,             0.61971,            0.011476,           0.0057062,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.019661,            0.011525,                   0,             0.98332,             0.95075,             0.98666,             0.61966,            0.011904,           0.0055998,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020593,            0.011536,                   0,              0.9988,             0.95161,             0.98859,             0.61296,            0.012101,           0.0055952,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.021886,            0.011487,                   0,                   1,             0.93313,             0.98964,             0.61078,             0.01193,           0.0057322,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.021313,            0.012001,                   0,             0.96377,             0.96774,             0.99082,             0.61524,            0.011814,           0.0057156,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.022945,            0.011466,                   0,             0.98339,             0.95507,             0.99001,             0.60971,            0.011747,           0.0056125,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020629,            0.011341,                   0,             0.96487,             0.96774,             0.98954,             0.61499,            0.011929,           0.0056941,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.020736,            0.011803,                   0,             0.97906,             0.95161,             0.98967,             0.61767,            0.011535,           0.0056012,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.021147,            0.012643,                   0,             0.98356,             0.96486,             0.99099,             0.61046,            0.011682,           0.0056313,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.018813,            0.010321,                   0,             0.98359,             0.96681,             0.99042,             0.61721,            0.011784,           0.0057327,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.019036,            0.011072,                   0,                   1,             0.93251,             0.98769,             0.60192,            0.011551,           0.0057569,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.021172,            0.011825,                   0,                   1,             0.93387,             0.98803,             0.60075,            0.011465,           0.0056991,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.021064,            0.011585,                   0,              0.9676,             0.96336,             0.98793,             0.60163,            0.011525,           0.0056921,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.019069,            0.011065,                   0,             0.98329,             0.94933,             0.98948,             0.61534,            0.011653,           0.0055671,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.020664,            0.010953,                   0,                   1,             0.93325,             0.99117,             0.62469,            0.011187,           0.0054784,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.019275,            0.011701,                   0,             0.98164,             0.95161,             0.99181,             0.62762,            0.011211,           0.0055702,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.020555,            0.012051,                   0,              0.9823,             0.96774,             0.99236,             0.63465,            0.011283,           0.0056854,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.020302,            0.011462,                   0,             0.96733,             0.96774,             0.99198,             0.61841,            0.011362,           0.0057386,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.020332,            0.011324,                   0,             0.98318,             0.94307,             0.99154,             0.62174,            0.011273,           0.0058072,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.019133,            0.010629,                   0,             0.97816,             0.95161,             0.99028,             0.62728,            0.011235,           0.0058193,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018718,            0.010704,                   0,             0.98322,             0.94493,             0.99066,             0.63022,            0.011195,           0.0058114,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019007,            0.011031,                   0,             0.98325,              0.9467,             0.99139,              0.6289,            0.011188,           0.0057964,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.02016,            0.011506,                   0,             0.97901,             0.95161,              0.9905,             0.61522,            0.011259,           0.0057957,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.020293,            0.011036,                   0,             0.98322,             0.94498,              0.9913,             0.62304,            0.011268,           0.0058281,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.01985,            0.011118,                   0,             0.98315,             0.94092,             0.99116,             0.61995,            0.011331,           0.0058399,                   0,            0.000298,            0.000298,            0.000298
